termID	termDef	totalTermGenes	totalTermSizeAA	nConvGenes	nConvSites	nDivGenes	nDivSites	totalMutatedGenes	funcClust
MP:0002681	increased corpora lutea number	5	1853	0	0	0	0	0	reproduction
MP:0002682	decreased mature ovarian follicle number	49	21397	2	3	5	6	7	reproduction
MP:0002683	delayed fertility	17	9786	2	2	4	6	5	reproduction
MP:0002685	abnormal spermatogonia proliferation	14	6666	3	3	2	2	4	reproduction
MP:0002686	globozoospermia	25	12139	3	8	4	7	6	reproduction
MP:0002687	oligozoospermia	160	75374	14	16	17	21	27	reproduction
MP:0002689	abnormal molar morphology	44	17734	3	3	4	4	6	craniofacial
MP:0002690	akinesia	19	10521	4	4	4	7	6	behavior
MP:0002691	small stomach	17	9591	3	3	3	4	4	digestive
MP:0002693	abnormal pancreas physiology	229	108503	33	36	29	36	57	gland
MP:0002694	abnormal pancreas secretion	137	74552	22	24	16	21	33	gland
MP:0002695	abnormal circulating glucagon level	36	18810	4	4	1	1	5	homeostasis
MP:0002696	decreased circulating glucagon level	17	10054	2	2	1	1	3	homeostasis
MP:0002697	abnormal eye size	162	96141	22	25	31	40	41	vision
MP:0002698	abnormal sclera morphology	13	4459	0	0	1	1	1	vision
MP:0002699	abnormal vitreous body morphology	63	35489	7	8	12	13	16	vision
MP:0002700	opacity of vitreous body	5	2406	0	0	1	1	1	vision
MP:0002702	decreased circulating free fatty acid level	81	42155	11	14	13	16	20	homeostasis
MP:0002703	abnormal renal tubule morphology	213	115105	29	35	27	34	49	renal
MP:0002704	tubular nephritis	7	4341	1	1	3	3	3	immune
MP:0002705	dilated renal tubules	97	51630	12	15	12	15	20	renal
MP:0002706	abnormal kidney size	265	140678	31	36	36	40	53	renal
MP:0002707	abnormal kidney weight	108	49873	14	15	17	19	25	renal
MP:0002708	nephrolithiasis	4	1025	0	0	1	1	1	renal
MP:0002710	increased glucagon secretion	6	3138	0	0	1	2	1	homeostasis
MP:0002711	decreased glucagon secretion	9	4247	1	1	0	0	1	homeostasis
MP:0002712	increased circulating glucagon level	20	9204	2	2	1	1	3	homeostasis
MP:0002713	abnormal glycogen catabolism	9	2703	0	0	0	0	0	homeostasis
MP:0002714	increased glycogen catabolism rate	3	1084	0	0	0	0	0	homeostasis
MP:0002715	decreased glycogen catabolism rate	6	1619	0	0	0	0	0	homeostasis
MP:0002716	small male preputial glands	6	2701	0	0	0	0	0	skin
MP:0002717	abnormal male preputial gland morphology	13	7077	2	3	1	1	3	skin
MP:0002718	abnormal inner cell mass morphology	66	32574	3	3	7	7	9	development
MP:0002722	abnormal immune system organ morphology	983	427665	86	98	120	142	184	immune
MP:0002723	abnormal immune serum protein physiology	839	307195	81	89	82	99	145	immune
MP:0002724	enhanced wound healing	22	8795	1	1	1	1	2	homeostasis
MP:0002725	abnormal vein morphology	83	49782	5	6	9	9	12	cardiovascular
MP:0002726	abnormal pulmonary vein morphology	11	4243	0	0	0	0	0	cardiovascular
MP:0002727	decreased circulating insulin level	214	104362	28	33	32	39	52	homeostasis
MP:0002728	absent tibia	8	2729	0	0	0	0	0	limb
MP:0002729	abnormal inner ear canal morphology	59	28626	4	4	6	9	8	hearing
MP:0002730	head shaking	18	13531	2	4	3	4	3	behavior
MP:0002731	megacolon	21	11363	3	3	4	5	5	digestive
MP:0002732	increased trichoepithelioma incidence	4	3459	0	0	0	0	0	skin
MP:0002733	abnormal thermal nociception	131	63284	11	14	15	18	22	behavior
MP:0002734	abnormal mechanical nociception	21	8486	4	4	2	2	5	behavior
MP:0002735	abnormal chemical nociception	38	17024	5	5	5	5	8	behavior
MP:0002736	abnormal nociception after inflammation	34	17022	4	4	5	5	7	behavior
MP:0002738	hyperresponsive to tactile stimuli	11	4951	0	0	1	1	1	behavior
MP:0002739	abnormal olfactory bulb development	46	24491	5	6	6	6	8	nervous
MP:0002740	heart hypoplasia	23	12224	1	2	0	0	1	cardiovascular
MP:0002741	small olfactory bulb	50	38383	12	14	10	12	18	nervous
MP:0002742	enlarged submandibular lymph nodes	5	1336	0	0	0	0	0	immune
MP:0002743	glomerulonephritis	96	39938	13	13	13	15	22	immune
MP:0002745	abnormal atrioventricular valve morphology	69	44091	8	9	7	7	12	cardiovascular
MP:0002746	abnormal semilunar valve morphology	69	37569	7	8	7	8	10	cardiovascular
MP:0002747	abnormal aortic valve morphology	51	26542	5	6	6	7	8	cardiovascular
MP:0002748	abnormal pulmonary valve morphology	38	23122	6	7	5	5	7	cardiovascular
MP:0002750	exophthalmos	19	8724	3	5	2	2	4	vision
MP:0002751	abnormal autonomic nervous system morphology	73	31085	7	7	8	9	13	nervous
MP:0002752	abnormal somatic nervous system morphology	760	409677	106	128	124	162	185	nervous
MP:0002753	dilated heart left ventricle	85	40926	9	11	8	10	14	cardiovascular
MP:0002754	dilated heart right ventricle	52	24441	9	10	5	6	12	cardiovascular
MP:0002757	decreased vertical activity	121	54536	12	15	16	18	24	behavior
MP:0002758	long tail	6	1958	0	0	1	2	1	limb
MP:0002759	abnormal caudal vertebrae morphology	95	40999	14	16	11	11	20	limb
MP:0002761	abnormal hippocampal mossy fiber morphology	28	17672	1	1	2	4	3	nervous
MP:0002762	ectopic cerebellar granule cells	18	12810	1	2	2	3	2	nervous
MP:0002763	ectopic Bergmann glia cells	4	3203	0	0	0	0	0	nervous
MP:0002764	short tibia	134	69801	9	11	15	20	21	limb
MP:0002765	short fibula	23	10905	2	2	4	6	5	limb
MP:0002766	situs inversus	30	13907	2	2	11	12	11	growth
MP:0002767	situs ambiguus	6	2530	1	1	0	0	1	growth
MP:0002768	small adrenal glands	18	4712	2	2	1	1	3	gland
MP:0002769	abnormal vas deferens morphology	22	9464	2	2	5	5	5	reproduction
MP:0002770	absent bulbourethral gland	3	656	0	0	0	0	0	reproduction
MP:0002771	absent prostate gland anterior lobe	3	833	1	1	0	0	1	reproduction
MP:0002772	brachypodia	6	2286	0	0	1	1	1	limb
MP:0002773	decreased circulating luteinizing hormone level	20	10311	1	2	2	2	3	homeostasis
MP:0002774	small prostate gland	19	5771	1	1	1	1	2	reproduction
MP:0002776	Sertoli cell hyperplasia	5	1382	0	0	1	1	1	reproduction
MP:0002777	absent ovarian follicles	29	11802	4	5	4	5	7	reproduction
MP:0002778	meroanencephaly	2	2653	1	1	1	2	1	nervous
MP:0002779	abnormal sex gland secretion	16	7266	2	3	2	2	4	reproduction
MP:0002780	decreased circulating testosterone level	45	18655	3	4	4	7	6	homeostasis
MP:0002781	increased circulating testosterone level	17	8152	4	4	1	1	5	homeostasis
MP:0002782	abnormal testes secretion	11	5290	2	3	1	1	3	reproduction
MP:0002783	abnormal ovarian secretion	6	2315	0	0	1	1	1	reproduction
MP:0002784	abnormal Sertoli cell morphology	56	26749	3	3	6	9	9	reproduction
MP:0002785	absent Leydig cells	6	1337	0	0	0	0	0	reproduction
MP:0002786	abnormal Leydig cell morphology	63	22749	6	6	4	4	10	reproduction
MP:0002787	pseudohermaphroditism	8	2192	1	1	0	0	1	reproduction
MP:0002789	male pseudohermaphroditism	7	2001	1	1	0	0	1	reproduction
MP:0002790	decreased circulating follicle stimulating hormone level	29	11575	1	2	2	4	3	homeostasis
MP:0002791	steatorrhea	12	7956	1	1	0	0	1	digestive
MP:0002792	abnormal retinal vasculature morphology	116	54009	15	17	11	13	22	vision
MP:0002794	lenticonus	1	429	1	1	0	0	1	vision
MP:0002795	dilated cardiomyopathy	69	35102	5	5	7	9	10	cardiovascular
MP:0002796	impaired skin barrier function	63	30551	9	10	11	13	17	skin
MP:0002797	increased thigmotaxis	54	31008	4	8	10	15	11	behavior
MP:0002798	abnormal active avoidance behavior	12	5607	1	1	2	3	2	behavior
MP:0002799	abnormal passive avoidance behavior	40	19536	5	6	7	9	11	behavior
MP:0002800	abnormal short term object recognition memory	9	2994	0	0	1	1	1	behavior
MP:0002801	abnormal long term object recognition memory	27	15186	5	5	3	3	7	behavior
MP:0002802	abnormal discrimination learning	21	12363	3	3	1	2	4	behavior
MP:0002803	abnormal operant conditioning behavior	12	5644	0	0	0	0	0	behavior
MP:0002804	abnormal motor learning	44	28073	10	13	7	7	13	behavior
MP:0002805	abnormal conditioned taste aversion behavior	12	6575	0	0	1	1	1	behavior
MP:0002806	abnormal conditioned emotional response	1	394	0	0	0	0	0	behavior
MP:0002807	abnormal eye blink conditioning behavior	8	6302	0	0	1	1	1	behavior
MP:0002808	abnormal barbering behavior	3	863	0	0	0	0	0	behavior
MP:0002809	increased spinal cord size	7	3492	0	0	0	0	0	nervous
MP:0002810	microcytic anemia	20	10383	4	4	3	3	6	blood
MP:0002811	macrocytic anemia	20	5962	3	4	2	2	5	blood
MP:0002812	spherocytosis	12	8295	3	3	3	3	3	blood
MP:0002813	microcytosis	18	10410	4	4	2	2	4	blood
MP:0002814	hyperchromasia	5	3674	1	1	2	2	2	blood
MP:0002816	colitis	110	40450	10	14	6	9	15	immune
MP:0002817	abnormal tooth mineralization	11	3528	0	0	1	1	1	craniofacial
MP:0002818	abnormal dentin morphology	18	6656	0	0	2	2	2	craniofacial
MP:0002819	abnormal pulp cavity morphology	5	2411	0	0	1	1	1	craniofacial
MP:0002820	abnormal premaxilla morphology	42	24126	2	2	3	3	4	craniofacial
MP:0002822	catalepsy	9	4006	0	0	1	1	1	behavior
MP:0002823	abnormal rib development	31	13430	3	4	3	5	5	skeleton
MP:0002824	abnormal chorioallantoic fusion	68	37020	7	8	8	9	14	development
MP:0002825	abnormal notochord morphology	69	35756	6	6	8	9	12	development
MP:0002826	tonic seizures	19	9062	2	2	1	1	3	nervous
MP:0002827	abnormal renal corpuscle morphology	277	138736	33	35	36	45	58	renal
MP:0002828	abnormal renal glomerular capsule morphology	94	55661	13	14	16	18	22	renal
MP:0002829	abnormal juxtaglomerular apparatus morphology	6	1836	0	0	0	0	0	renal
MP:0002830	gallstones	8	4429	2	2	3	4	3	liver
MP:0002831	absent Peyer's patches	20	7938	1	2	0	0	1	immune
MP:0002832	coarse hair	3	2505	1	1	0	0	1	skin
MP:0002833	increased heart weight	154	71182	17	21	22	26	32	cardiovascular
MP:0002834	decreased heart weight	78	43492	7	7	15	18	20	cardiovascular
MP:0002835	abnormal cranial suture morphology	50	29169	3	3	8	8	10	craniofacial
MP:0002836	abnormal chorion morphology	35	13661	2	2	3	3	5	development
MP:0002837	dystrophic cardiac calcinosis	11	4892	0	0	1	1	1	cardiovascular
MP:0002839	increased susceptibility to dystrophic cardiac calcinosis	1	413	0	0	0	0	0	cardiovascular
MP:0002840	abnormal lens fiber morphology	45	22964	6	7	7	11	9	vision
MP:0002841	impaired skeletal muscle contractility	35	29501	12	16	8	11	16	muscle
MP:0002842	increased systemic arterial blood pressure	125	49704	11	12	21	29	29	cardiovascular
MP:0002843	decreased systemic arterial blood pressure	88	37071	6	6	13	18	16	cardiovascular
MP:0002844	aortic hypertrophy	4	1133	1	1	1	1	2	cardiovascular
MP:0002845	abnormal aortic weight	1	1149	1	1	0	0	1	cardiovascular
MP:0002847	abnormal renal glomerular filtration rate	25	10706	2	2	5	5	7	renal
MP:0002849	abnormal saccharin consumption	1	1977	0	0	0	0	0	behavior
MP:0002850	saccharin preference	2	2491	0	0	0	0	0	behavior
MP:0002853	hyposulfatemia	2	802	0	0	1	1	1	homeostasis
MP:0002855	abnormal cochlear ganglion morphology	82	41563	21	28	13	18	26	hearing
MP:0002856	abnormal vestibular ganglion morphology	28	13004	2	2	2	2	4	nervous
MP:0002857	cochlear ganglion degeneration	53	30304	18	25	11	15	22	hearing
MP:0002858	abnormal posterior semicircular canal morphology	20	9691	1	1	1	1	2	hearing
MP:0002859	abnormal inner ear canal fusion	3	3128	0	0	1	1	1	hearing
MP:0002861	abnormal tail bud morphology	18	10147	2	2	4	4	5	limb
MP:0002862	altered righting response	121	73338	20	27	20	24	31	behavior
MP:0002863	improved righting response	7	3143	2	2	2	3	3	behavior
MP:0002864	abnormal ocular fundus morphology	546	261382	67	80	99	125	138	vision
MP:0002865	increased growth rate	12	7287	1	1	3	3	3	growth
MP:0002869	increased anti-insulin autoantibody level	4	1541	0	0	0	0	0	immune
MP:0002870	decreased anti-insulin autoantibody level	3	1357	1	1	0	0	1	immune
MP:0002871	albuminuria	60	30996	6	6	4	4	9	homeostasis
MP:0002872	polycythemia	13	7410	4	4	2	2	4	blood
MP:0002873	normal phenotype	1516	691077	137	157	179	217	284	others
MP:0002874	decreased hemoglobin content	148	75913	19	21	20	28	33	blood
MP:0002875	decreased erythrocyte cell number	172	90541	24	27	17	24	34	blood
MP:0002876	abnormal thyroid physiology	20	7032	1	2	1	2	2	gland
MP:0002877	abnormal melanocyte morphology	58	22298	7	8	10	10	16	others
MP:0002878	abnormal corticospinal tract morphology	17	12213	5	6	5	8	8	nervous
MP:0002879	increased cellular sensitivity to X-ray irradiation	5	4979	2	3	0	0	2	cellular
MP:0002880	opisthotonus	6	5049	2	2	0	0	2	muscle
MP:0002881	long hair	3	417	0	0	0	0	0	skin
MP:0002882	abnormal neuron morphology	1235	709826	166	195	196	251	293	nervous
MP:0002883	chromatolysis	7	6476	1	2	1	1	1	nervous
MP:0002884	abnormal pharyngeal arch morphology	126	63860	6	6	11	12	17	craniofacial
MP:0002885	abnormal AMPA-mediated synaptic currents	25	15620	0	0	3	3	3	nervous
MP:0002886	abnormal glutamate-mediated receptor currents	50	29189	4	5	9	9	13	nervous
MP:0002887	decreased susceptibility to pharmacologically induced seizures	22	11024	2	2	2	2	4	nervous
MP:0002888	abnormal NMDA-mediated synaptic currents	27	18520	3	4	5	5	8	nervous
MP:0002891	increased insulin sensitivity	136	58825	12	12	12	14	22	homeostasis
MP:0002892	decreased superior colliculus size	6	1750	0	0	0	0	0	nervous
MP:0002893	ketoaciduria	10	3987	1	1	2	2	3	homeostasis
MP:0002894	abnormal otolith morphology	21	12013	4	9	5	9	7	hearing
MP:0002895	abnormal otolithic membrane morphology	22	13090	4	9	5	9	7	hearing
MP:0002896	abnormal bone mineralization	138	73944	16	16	20	25	29	skeleton
MP:0002897	blotchy skin	1	176	0	0	0	0	0	skin
MP:0002898	absent cartilage	6	2782	0	0	1	2	1	skeleton
MP:0002899	fatigue	47	30059	7	9	7	16	10	behavior
MP:0002900	abnormal urine phosphate level	18	6233	1	1	3	3	3	homeostasis
MP:0002901	increased urine phosphate level	15	5287	1	1	2	2	2	homeostasis
MP:0002902	decreased urine phosphate level	3	946	0	0	1	1	1	homeostasis
MP:0002903	abnormal circulating parathyroid hormone level	25	11943	3	3	5	5	7	homeostasis
MP:0002904	increased circulating parathyroid hormone level	17	8350	2	2	2	2	4	homeostasis
MP:0002905	decreased circulating parathyroid hormone level	11	4911	2	2	4	4	5	homeostasis
MP:0002906	increased susceptibility to pharmacologically induced seizures	86	50337	14	17	13	17	22	nervous
MP:0002907	abnormal parturition	23	10299	2	2	2	2	4	reproduction
MP:0002908	delayed wound healing	53	25844	4	5	5	6	8	homeostasis
MP:0002909	abnormal adrenal gland physiology	26	10590	0	0	2	4	2	gland
MP:0002910	abnormal excitatory postsynaptic currents	107	63382	14	16	18	18	30	nervous
MP:0002911	abnormal inhibitory postsynaptic potential	6	2775	0	0	1	1	1	nervous
MP:0002912	abnormal excitatory postsynaptic potential	83	43738	6	6	7	8	12	nervous
MP:0002913	abnormal PNS synaptic transmission	31	19519	5	5	3	3	6	nervous
MP:0002914	abnormal endplate potential	17	11998	3	3	1	1	3	nervous
MP:0002915	abnormal synaptic depression	107	67288	14	14	14	18	24	nervous
MP:0002916	increased synaptic depression	15	9045	4	4	2	3	5	nervous
MP:0002917	decreased synaptic depression	15	10228	2	2	4	4	5	nervous
MP:0002918	abnormal paired-pulse facilitation	58	30582	8	9	8	8	15	nervous
MP:0002919	enhanced paired-pulse facilitation	31	17487	4	4	5	5	9	nervous
MP:0002920	decreased paired-pulse facilitation	26	12782	4	5	3	3	6	nervous
MP:0002921	abnormal post-tetanic potentiation	20	10505	4	4	3	4	6	nervous
MP:0002922	decreased post-tetanic potentiation	11	5089	3	3	1	2	3	nervous
MP:0002923	increased post-tetanic potentiation	7	3332	1	1	2	2	3	nervous
MP:0002924	delayed CNS synapse formation	2	712	0	0	0	0	0	nervous
MP:0002925	abnormal cardiovascular development	620	354875	67	76	64	77	114	cardiovascular
MP:0002926	aganglionic megacolon	8	4105	1	1	2	2	2	digestive
MP:0002928	abnormal bile duct morphology	41	21802	3	3	4	4	7	liver
MP:0002929	abnormal bile duct development	14	6204	0	0	1	1	1	liver
MP:0002931	glutaricadicuria	1	301	0	0	0	0	0	homeostasis
MP:0002932	abnormal joint morphology	219	107641	16	17	28	30	35	skeleton
MP:0002933	joint inflammation	115	45041	12	12	8	9	18	immune
MP:0002935	chronic joint inflammation	2	802	1	1	1	1	1	immune
MP:0002936	joint swelling	9	2653	1	1	2	2	2	skeleton
MP:0002938	white spotting	43	25046	7	7	7	8	12	skin
MP:0002939	head spot	7	2541	2	2	1	1	3	skin
MP:0002940	variable body spotting	14	9830	2	2	4	5	5	skin
MP:0002941	increased circulating alanine transaminase level	91	37333	10	10	12	13	19	homeostasis
MP:0002942	decreased circulating alanine transaminase level	35	17130	7	7	6	6	11	homeostasis
MP:0002943	abnormal lactate dehydrogenase level	30	12566	2	2	3	3	5	homeostasis
MP:0002944	increased lactate dehydrogenase level	25	11095	2	2	2	2	4	homeostasis
MP:0002945	abnormal inhibitory postsynaptic currents	70	35115	3	4	10	10	12	nervous
MP:0002946	delayed axon extension	6	4871	1	3	1	3	1	nervous
MP:0002947	increased hemangioma incidence	19	8673	0	0	2	2	2	tumorigenesis
MP:0002948	abnormal neuron specification	18	7175	1	1	1	1	2	nervous
MP:0002950	abnormal neural crest cell migration	43	21170	4	4	4	4	7	development
MP:0002951	small thyroid gland	17	6549	1	1	1	1	2	gland
MP:0002952	ventricular cardiomyopathy	5	3555	1	3	1	3	1	cardiovascular
MP:0002953	thick ventricular wall	47	24612	1	1	2	4	3	cardiovascular
MP:0002955	increased compensatory renal growth	2	368	0	0	0	0	0	renal
MP:0002957	increased intestinal adenocarcinoma incidence	36	20134	5	6	5	5	9	tumorigenesis
MP:0002958	cerebral aqueductal stenosis	4	3440	0	0	0	0	0	nervous
MP:0002959	increased urine microalbumin level	3	1539	1	2	1	2	1	homeostasis
MP:0002961	abnormal axon guidance	57	37585	8	8	11	15	15	nervous
MP:0002962	increased urine protein level	132	65409	17	20	14	19	28	homeostasis
MP:0002963	decreased urine protein level	9	4183	1	1	0	0	1	homeostasis
MP:0002964	aortic elastic tissue lesions	4	3013	0	0	1	1	1	cardiovascular
MP:0002965	increased circulating serum albumin level	22	7989	1	1	3	3	4	homeostasis
MP:0002966	decreased circulating alkaline phosphatase level	37	17702	7	7	2	2	7	homeostasis
MP:0002968	increased circulating alkaline phosphatase level	123	61532	17	20	16	18	27	homeostasis
MP:0002969	impaired social transmission of food preference	7	3584	1	1	1	2	2	behavior
MP:0002970	abnormal white adipose tissue morphology	235	115509	29	32	30	32	48	adipose
MP:0002971	abnormal brown adipose tissue morphology	119	66945	18	18	17	17	29	adipose
MP:0002972	abnormal cardiac muscle contractility	220	115327	26	33	31	45	49	cardiovascular
MP:0002975	vascular smooth muscle hypertrophy	5	2212	1	1	2	2	3	cardiovascular
MP:0002976	vascular smooth muscle hypotrophy	4	1436	0	0	0	0	0	cardiovascular
MP:0002978	absent otoliths	11	4775	0	0	1	1	1	hearing
MP:0002980	abnormal postural reflex	126	74932	21	28	21	25	33	behavior
MP:0002981	increased liver weight	110	48838	10	10	16	17	23	liver
MP:0002982	abnormal primordial germ cell migration	10	3653	2	2	2	4	4	reproduction
MP:0002983	increased retinal ganglion cell number	11	4739	1	1	0	0	1	vision
MP:0002984	retina hypoplasia	15	4474	0	0	3	3	3	vision
MP:0002985	abnormal urine calcium level	34	14654	2	2	5	5	6	homeostasis
MP:0002986	decreased urine calcium level	8	3274	0	0	1	1	1	homeostasis
MP:0002987	abnormal urine osmolality	61	23537	6	6	5	7	10	homeostasis
MP:0002988	decreased urine osmolality	54	21341	5	5	4	6	8	homeostasis
MP:0002989	small kidney	193	103852	21	25	25	29	35	renal
MP:0002990	short ureter	7	2432	0	0	0	0	0	renal
MP:0002991	abnormal sebaceous gland physiology	12	3019	1	1	1	2	1	skin
MP:0002992	abnormal sebaceous lipid secretion	6	847	0	0	0	0	0	skin
MP:0002993	arthritis	107	42045	12	12	8	9	18	immune
MP:0002995	primary sex reversal	18	8558	2	2	2	2	4	reproduction
MP:0002996	ovotestis	6	3782	1	1	1	1	2	reproduction
MP:0002997	enlarged seminal vesicle	8	2744	0	0	0	0	0	reproduction
MP:0002998	abnormal bone remodeling	156	74370	17	19	14	16	29	skeleton
MP:0002999	abnormal bone healing	10	4198	3	3	2	3	5	homeostasis
MP:0003005	abnormal hippocampal fimbria morphology	11	7503	1	2	1	1	1	nervous
MP:0003006	abnormal hippocampal fornix morphology	4	2957	0	0	0	0	0	nervous
MP:0003007	ectopic thymus	13	6140	0	0	1	1	1	gland
MP:0003008	enhanced long term potentiation	54	25218	4	4	7	9	10	nervous
MP:0003009	abnormal cytokine secretion	518	178608	48	50	46	56	85	immune
MP:0003010	decreased mortality induced by ionizing radiation	7	1424	1	1	0	0	1	homeostasis
MP:0003011	delayed dark adaptation	12	4380	2	2	2	2	3	vision
MP:0003014	abnormal kidney medulla morphology	54	20217	3	3	5	5	6	renal
MP:0003015	abnormal circulating bicarbonate level	16	6697	0	0	1	1	1	homeostasis
MP:0003016	increased circulating bicarbonate level	6	1255	0	0	0	0	0	homeostasis
MP:0003017	decreased circulating bicarbonate level	10	5442	0	0	1	1	1	homeostasis
MP:0003018	abnormal circulating chloride level	59	26431	1	1	8	8	8	homeostasis
MP:0003019	increased circulating chloride level	35	17297	1	1	5	5	5	homeostasis
MP:0003020	decreased circulating chloride level	26	10307	0	0	3	3	3	homeostasis
MP:0003021	abnormal coronary flow rate	7	3538	0	0	2	4	2	cardiovascular
MP:0003022	increased coronary flow rate	3	895	0	0	0	0	0	cardiovascular
MP:0003023	decreased coronary flow rate	3	2510	0	0	2	4	2	cardiovascular
MP:0003024	coronary artery stenosis	1	244	0	0	0	0	0	cardiovascular
MP:0003025	increased vasoconstriction	21	11359	1	1	3	4	3	cardiovascular
MP:0003026	decreased vasoconstriction	21	12157	0	0	0	0	0	cardiovascular
MP:0003027	abnormal blood pH regulation	11	8233	2	2	2	3	3	homeostasis
MP:0003028	alkalosis	6	2676	0	0	2	2	2	homeostasis
MP:0003029	alkalemia	2	575	0	0	0	0	0	homeostasis
MP:0003030	acidemia	6	6728	1	1	0	0	1	homeostasis
MP:0003031	acidosis	26	13766	1	1	4	7	4	homeostasis
MP:0003032	hypocapnia	2	455	1	1	1	1	1	homeostasis
MP:0003033	abnormal pulmonary vascular resistance	5	2912	1	1	0	0	1	cardiovascular
MP:0003034	increased pulmonary vascular resistance	2	983	0	0	0	0	0	cardiovascular
MP:0003035	decreased pulmonary vascular resistance	1	365	0	0	0	0	0	cardiovascular
MP:0003036	vertebral transformation	98	44471	5	5	11	16	14	skeleton
MP:0003037	increased myocardial infarction size	24	7731	5	6	3	4	7	cardiovascular
MP:0003038	decreased myocardial infarction size	21	6961	1	1	1	2	1	cardiovascular
MP:0003039	increased time of peak ischemic contracture	1	130	0	0	0	0	0	cardiovascular
MP:0003043	hypoalgesia	127	59336	15	16	14	14	25	behavior
MP:0003044	impaired basement membrane formation	10	9485	3	4	3	5	4	cellular
MP:0003046	liver cirrhosis	7	3698	0	0	1	1	1	liver
MP:0003047	abnormal thoracic vertebrae morphology	115	60987	8	9	13	15	18	skeleton
MP:0003048	abnormal cervical vertebrae morphology	117	53790	9	10	12	14	16	skeleton
MP:0003049	abnormal lumbar vertebrae morphology	138	67977	8	8	18	24	21	skeleton
MP:0003050	abnormal sacral vertebrae morphology	92	39762	7	7	16	23	18	skeleton
MP:0003051	curly tail	57	34117	5	6	9	11	11	limb
MP:0003052	omphalocele	48	34927	4	4	7	7	10	growth
MP:0003053	delayed tooth eruption	8	3724	0	0	2	2	2	craniofacial
MP:0003054	spina bifida	72	30715	5	5	7	7	10	nervous
MP:0003055	abnormal long bone epiphyseal plate morphology	165	78348	16	16	18	21	30	skeleton
MP:0003056	abnormal hyoid bone morphology	44	17943	3	3	2	2	5	craniofacial
MP:0003057	abnormal epicardium morphology	20	17577	3	3	1	1	4	cardiovascular
MP:0003058	increased insulin secretion	34	15768	7	8	3	3	9	homeostasis
MP:0003059	decreased insulin secretion	96	51735	14	15	11	16	22	homeostasis
MP:0003060	increased aerobic running capacity	2	1167	0	0	0	0	0	homeostasis
MP:0003061	decreased aerobic running capacity	5	2041	1	1	1	1	1	homeostasis
MP:0003062	abnormal coping response	37	19250	6	7	4	7	10	behavior
MP:0003063	increased coping response	22	12589	3	4	4	7	7	behavior
MP:0003064	decreased coping response	10	4589	2	2	0	0	2	behavior
MP:0003065	abnormal liver copper level	7	3108	1	1	2	2	3	homeostasis
MP:0003066	increased liver copper level	4	1745	0	0	2	2	2	homeostasis
MP:0003067	decreased liver copper level	5	2589	1	1	1	1	2	homeostasis
MP:0003068	enlarged kidney	88	48358	11	13	13	16	20	renal
MP:0003069	abnormal superior semicircular canal morphology	16	6921	0	0	1	1	1	hearing
MP:0003070	increased vascular permeability	35	13426	3	4	4	4	7	cardiovascular
MP:0003071	decreased vascular permeability	13	7137	4	4	2	2	5	cardiovascular
MP:0003072	abnormal metatarsal bone morphology	31	9862	3	3	4	4	6	limb
MP:0003073	abnormal metacarpal bone morphology	34	13493	1	1	2	2	3	limb
MP:0003074	absent metacarpal bones	2	961	0	0	0	0	0	limb
MP:0003075	altered response to CNS ischemic injury	63	32712	11	14	10	14	17	nervous
MP:0003076	increased susceptibility to ischemic brain injury	28	13640	5	7	4	4	8	nervous
MP:0003077	abnormal cell cycle	245	125819	17	20	32	34	43	cellular
MP:0003078	aphakia	24	14936	2	2	3	5	3	vision
MP:0003080	increased natural killer cell mediated cytotoxicity	6	1267	1	1	1	1	2	immune
MP:0003081	abnormal soleus morphology	22	22681	7	8	2	5	7	muscle
MP:0003082	abnormal gastrocnemius morphology	19	13322	5	5	3	4	5	muscle
MP:0003083	abnormal tibialis anterior morphology	15	7260	3	3	1	1	3	muscle
MP:0003084	abnormal skeletal muscle fiber morphology	179	131147	31	37	23	35	40	muscle
MP:0003085	abnormal egg cylinder morphology	33	22911	6	11	3	5	6	development
MP:0003087	absent allantois	19	8275	3	3	1	1	3	development
MP:0003088	abnormal prepulse inhibition	135	63742	9	11	20	23	29	nervous
MP:0003089	decreased skin tensile strength	20	11759	5	5	1	1	6	skin
MP:0003090	abnormal muscle precursor cell migration	8	3188	0	0	0	0	0	muscle
MP:0003091	abnormal cell migration	414	206850	42	46	53	70	82	cellular
MP:0003092	decreased corneal stroma thickness	12	6587	1	1	0	0	1	vision
MP:0003093	abnormal cornea anterior stroma morphology	3	2112	1	1	0	0	1	vision
MP:0003094	abnormal cornea posterior stroma morphology	4	2113	1	1	0	0	1	vision
MP:0003095	abnormal corneal stroma development	3	750	0	0	0	0	0	vision
MP:0003096	increased corneal light-scattering	3	1785	1	1	0	0	1	vision
MP:0003097	abnormal tendon stiffness	8	4880	1	1	1	1	2	muscle
MP:0003098	decreased tendon stiffness	7	4827	1	1	1	1	2	muscle
MP:0003099	retinal detachment	13	7995	3	3	4	6	5	vision
MP:0003100	myopia	3	868	0	0	1	1	1	vision
MP:0003101	high myopia	2	574	0	0	1	1	1	vision
MP:0003102	sclera thinning	2	574	0	0	1	1	1	vision
MP:0003103	liver degeneration	23	13615	2	2	3	3	5	liver
MP:0003104	acrania	11	7754	2	2	2	3	3	craniofacial
MP:0003105	abnormal heart atrium morphology	180	122735	19	22	16	19	30	cardiovascular
